,n_voxels,n_actuators,actuator_fraction,h_actuator_fraction,aspect_ratio,compactness,h_symmetry,modularity,settle_com_y_drift,settle_com_x_drift,settle_max_speed_tail,settle_mean_speed_tail,rand_dx_mean,rand_dx_max,rand_dx_std,rand_mean_speed,sin_best_dx,sin_best_dx_short,sin_best_freq,sin_best_pattern_id,sin_dx_mean,sin_dx_std,sin_dx_range,eff_raw,eff_raw_log,eff_dev,eff_dev_log,ko_frac_mean,ko_frac_min,ko_dx_delta_mean,ko_dx_delta_worst,nbr_feasible_fraction,nbr_n_feasible,nbr_dx_mean,nbr_dx_max,nbr_dx_std,nbr_dx_mean_minus_self,nbr_dx_max_minus_self
settle_max_speed_tail,0.2142145398255996,0.0021262455255974646,-0.11631175998556377,-0.030670975806425846,-0.0013957834865329364,0.19928565730014158,-0.05824224118028807,-0.008010450292977634,0.16335564765829588,0.03981511723340074,1.0,0.4411748545704051,-0.07276420818648478,-0.10292832226714463,-0.043362290730998634,-0.02891661051141351,-0.1160269708549448,-0.08797914060698593,0.056930154824476484,0.0010648779028683227,-0.02712257760070823,-0.10864194972557877,-0.12426057774554232,-0.11115584580700368,-0.11115584580700368,-0.11194832029658347,-0.11194832029658347,-0.03939539551308719,-0.0494173437015603,0.036882605525232606,0.08221120743762157,0.052634054939696584,0.052634054939696584,-0.049390891312828096,-0.0747931862138386,-0.12329296386598039,0.11154876359785179,0.014837070228284316
settle_mean_speed_tail,0.010149046338519166,0.020753929236453857,0.024618029438372904,-0.028905032042935555,0.035911149762941956,0.05590894286790656,-0.02492158103242308,0.07644692609415671,0.36051356151215336,0.05142031807093654,0.4411748545704051,1.0,-0.10793114213632371,-0.11356401936372247,-0.023780734705991048,0.01089955896262707,-0.0699088944615594,-0.06967664379706444,-0.018218583983015586,0.04997122168772327,-0.06707646969101073,-0.05783085990496049,-0.05367493134772043,-0.0755040215809509,-0.0755040215809509,-0.07633582951640139,-0.07633582951640139,-0.0750967455146476,-0.058824105754293726,-0.01771405068186729,0.025885824062218937,-0.042478271995631166,-0.042478271995631166,-0.05404546018562239,-0.060907035372906974,-0.08593352364313739,0.04395823688051123,-0.004214984281760599
rand_dx_mean,0.022453238683482143,-0.010548244548506227,-0.02650598050201228,0.05428018485749784,-0.07683762288065416,0.014818932865583724,-0.013158306842818821,0.02845256716441054,-0.07699694251903026,-0.0030397864749446475,-0.07276420818648478,-0.10793114213632371,1.0,0.9102354728763136,-0.40669435192875536,-0.21954294317484216,0.38370678807441133,0.3367462131839255,0.1136062804199797,0.018466361779223433,0.5830987863855177,0.060709668637968436,0.08298689718582551,0.41279125775349373,0.41279125775349373,0.4133673149092081,0.4133673149092081,0.3873910764419678,0.4469497995812922,-0.00019400053889038582,-0.01455381820505057,-0.03462407546615107,-0.03462407546615107,0.4545168181022725,0.34991341642615675,0.01667743521509782,-0.0067310186972741595,0.013433703982511062
rand_dx_max,0.04352164467741004,0.14746767926001547,0.13386660927978877,-0.03169562534880313,-0.06980930049560079,0.05067295402185781,0.02403130619363169,-0.021509397203043595,-0.023645762097597195,-0.041016367352384515,-0.10292832226714463,-0.11356401936372247,0.9102354728763136,1.0,-0.0719337553715427,0.038549718193661646,0.4915874766318795,0.4287112464201289,0.16520554844174537,0.04926960637520001,0.5750987641632338,0.24438845663460176,0.2619551165419904,0.4728113689204692,0.4728113689204692,0.4736775379931611,0.4736775379931611,0.4211724755326021,0.425785545699278,-0.07260720168667135,-0.15619898944163735,0.07505210166430266,0.07505210166430266,0.5411391142753175,0.4482732452034589,0.08804146678185217,-0.0783930510918086,-0.008675635210097806
rand_dx_std,-0.005937641691189763,0.3196230233954051,0.34895624861201735,-0.2308874061851301,0.05200430613911238,0.018597368823888506,-0.0005930103096563724,-0.1297752848365616,0.1133082130762767,-0.04098328392439582,-0.043362290730998634,-0.023780734705991048,-0.40669435192875536,-0.0719337553715427,1.0,0.6664617957272103,0.1559905999738888,0.14511345864849626,0.08814903664316202,0.03934862490218012,-0.1876971324920347,0.428876024655624,0.40903024730624254,0.0520056444601235,0.0520056444601235,0.05215520043111231,0.05215520043111231,-0.04556423846109445,-0.19253423007543685,-0.17046914019205608,-0.31508170856030154,0.2176591863617376,0.2176591863617376,0.0870315195319987,0.13736827046741795,0.169628804524457,-0.1599654999041664,-0.06001683338009272
rand_mean_speed,0.07114299837348419,0.5987051134715088,0.5948773456709087,-0.3268451351751072,0.03172492651597189,0.09473400300334894,0.041125829084033574,-0.12501197569913763,0.14705767074833628,-0.06740022061729811,-0.02891661051141351,0.01089955896262707,-0.21954294317484216,0.038549718193661646,0.6664617957272103,1.0,0.15646821241170114,0.10309178636607325,0.08590004465353208,0.10575435715473337,-0.09855582932174811,0.38700046389017745,0.38269711860310723,-0.02852857924605346,-0.02852857924605346,-0.028048689024136177,-0.028048689024136177,0.13185173935834063,-0.07267300131354713,-0.07214808930024806,-0.25640376778824386,0.43324173395398236,0.43324173395398236,0.12305795293875817,0.13127292020255613,0.0827570076583546,-0.1215502820841169,-0.061443004008344466
sin_best_dx,0.027717675919199585,0.2531942172141066,0.26237826602800285,0.14915641351121411,-0.0014653208889189974,0.02217424885456306,-0.02002990074062432,-0.00979867986022181,0.08900733799321735,0.009031886952343256,-0.1160269708549448,-0.0699088944615594,0.38370678807441133,0.4915874766318795,0.1559905999738888,0.15646821241170114,1.0,0.9281613004480568,0.2523168459752833,0.027947472455423734,0.7063069064080734,0.7532916480323556,0.7812108922524785,0.9368508801413338,0.9368508801413338,0.9368829357859327,0.9368829357859327,0.04686830726225212,0.29598346809243437,-0.6820298389717749,-0.7395969433248426,0.1601017761075656,0.1601017761075656,0.72306161961561,0.6328371467698521,0.23026708407523355,-0.5476702435284543,-0.3234913985872183
sin_best_dx_short,0.06386601354218832,0.21541975189103016,0.2019424056172005,0.1943198015776411,-0.03361743579526059,0.05141589752666092,-0.04240046896619672,-0.03217214555658387,0.1262914168893321,0.05544488085618709,-0.08797914060698593,-0.06967664379706444,0.3367462131839255,0.4287112464201289,0.14511345864849626,0.10309178636607325,0.9281613004480568,1.0,0.2562776583021347,0.022672525781135197,0.6708438078994664,0.7053874594096095,0.7262575729377027,0.8783432731757588,0.8783432731757588,0.8785885516348656,0.8785885516348656,0.019680842340052154,0.2553480665595864,-0.6473788538301495,-0.6930215361709338,0.1448450449146614,0.1448450449146614,0.6973519370887141,0.5990266084072455,0.20052466812407813,-0.47447454020705615,-0.28822096728046465
sin_best_freq,0.04489620720089457,0.12730196124417825,0.10888498862496636,-0.0004152626400414041,0.032174978911228204,0.0541708888536141,0.00811482987617724,-0.03381121398528837,-2.9815413263194612e-05,0.09171905813061781,0.056930154824476484,-0.018218583983015586,0.1136062804199797,0.16520554844174537,0.08814903664316202,0.08590004465353208,0.2523168459752833,0.2562776583021347,1.0,0.040535284738531595,0.19666306004993356,0.17941323857474983,0.21183533905022287,0.24431724479139216,0.24431724479139216,0.2441480339764421,0.2441480339764421,0.06505981125162646,-0.039011303751118255,-0.09460652256317592,-0.19707719043621338,0.13717205929591297,0.13717205929591297,0.23041936744947153,0.18888026385695006,0.031474258245544076,-0.07174140239764461,-0.0897853808161893
sin_best_pattern_id,-0.003503023496691435,0.07384700541848996,0.07568527615720615,-0.027407683537784108,0.09795926582459627,-0.006610869146534726,0.035543989100482704,0.03320427374616526,-0.02115158525597025,0.11170158042450627,0.0010648779028683227,0.04997122168772327,0.018466361779223433,0.04926960637520001,0.03934862490218012,0.10575435715473337,0.027947472455423734,0.022672525781135197,0.040535284738531595,1.0,0.03714651454755383,0.0643390286001333,0.03058388344142686,0.007430945246950588,0.007430945246950588,0.011950531547692806,0.011950531547692806,0.15999257694162541,0.07961227812411062,0.07611860775068094,0.02464821178173282,0.01720875708913987,0.01720875708913987,0.19973269547085157,0.1554537276348156,0.04684790516847997,0.1431459589817684,0.14098553873138375
